,Times,Total_S,Total_A,Total_B,Total_P,SA_Flux,AB_Flux,BP_Flux,fs,fa,fb,fp
663,66.2,0,103.49555158170581,240.4529503794966,111.50604349334301,0.0,5.473882380664502,1.9123843874188446,0.0,1.0,1.0,1.0
664,66.3,0,102.94841708979298,240.80883402307649,111.69729434167596,0.0,5.471344919128343,1.912508483329397,0.0,1.0,1.0,1.0
665,66.4,0,102.4015386841862,241.1644492150972,111.88855755526203,0.0,5.468784056067819,1.9126321358607146,0.0,1.0,1.0,1.0
666,66.5,0,101.85491873636555,241.51979362826913,112.07983308991075,0.0,5.466199478206597,1.9127553464872682,0.0,1.0,1.0,1.0
667,66.60000000000001,0,101.3085596496824,241.87486490328567,112.27112090157735,0.0,5.463590866831561,1.912878116666031,0.0,1.0,1.0,1.0
668,66.7,0,100.76246385991459,242.22966064826983,112.462420946361,0.0,5.460957897677988,1.9130004478364662,0.0,1.0,1.0,1.0
669,66.8,0,100.2166338358334,242.58417843820897,112.65373318050304,0.0,5.458300240811867,1.913122341420512,0.0,1.0,1.0,1.0
670,66.9,0,99.67107207978248,242.93841581437763,112.8450575603853,0.0,5.455617560509338,1.9132437988225643,0.0,1.0,1.0,1.0
671,67.0,0,99.12578112826917,243.292370283748,113.03639404252824,0.0,5.452909515133109,1.9133648214294547,0.0,1.0,1.0,1.0
672,67.10000000000001,0,98.58076355256858,243.64603931838755,113.22774258358929,0.0,5.4501757570058125,1.9134854106104258,0.0,1.0,1.0,1.0
673,67.2,0,98.03602195934056,243.99942035484386,113.419103140361,0.0,5.447415932280202,1.9136055677171044,0.0,1.0,1.0,1.0
674,67.3,0,97.49155899125995,244.35251079351613,113.61047566976934,0.0,5.444629680806083,1.913725294083469,0.0,1.0,1.0,1.0
675,67.4,0,96.94737732766056,244.70530799801296,113.80186012887192,0.0,5.4418166359939155,1.9138445910258164,0.0,1.0,1.0,1.0
676,67.5,0,96.40347968519306,245.05780929449617,113.9932564748562,0.0,5.438976424674963,1.9139634598427226,0.0,1.0,1.0,1.0
677,67.60000000000001,0,95.85986881849728,245.41001197101045,114.1846646650377,0.0,5.436108666957914,1.9140819018150022,0.0,1.0,1.0,1.0
678,67.7,0,95.31654752088909,245.76191327679805,114.37608465685827,0.0,5.433212976081868,1.9141999182056613,0.0,1.0,1.0,1.0
679,67.8,0,94.77351862506254,246.11351042159862,114.56751640788426,0.0,5.430288958265563,1.914317510259852,0.0,1.0,1.0,1.0
680,67.9,0,94.23078500380726,246.4648005749334,114.75895987580473,0.0,5.427336212552781,1.914434679204816,0.0,1.0,1.0,1.0
681,68.0,0,93.68834957074188,246.8157808653738,114.95041501842972,0.0,5.424354330653767,1.91455142624983,0.0,1.0,1.0,1.0
682,68.10000000000001,0,93.14621528106362,247.16644837979345,115.14188179368834,0.0,5.421342896782587,1.9146677525861464,0.0,1.0,1.0,1.0
683,68.2,0,92.60438513231459,247.5168001626038,115.33336015962703,0.0,5.418301487490299,1.9147836593869263,0.0,1.0,1.0,1.0
684,68.3,0,92.06286216516521,247.86683321497247,115.52485007440775,0.0,5.415229671493803,1.9148991478071746,0.0,1.0,1.0,1.0
685,68.4,0,91.52164946421519,248.21654449402413,115.71635149630612,0.0,5.412127009500245,1.915014218983664,0.0,1.0,1.0,1.0
686,68.5,0,90.9807501588125,248.56593091202333,115.90786438370961,0.0,5.408993054026874,1.9151288740348626,0.0,1.0,1.0,1.0
687,68.60000000000001,0,90.44016742389088,248.91498933553888,116.09938869511569,0.0,5.405827349216183,1.9152431140608488,0.0,1.0,1.0,1.0
688,68.7,0,89.89990448082627,249.26371658458916,116.29092438913001,0.0,5.402629430646207,1.9153569401432293,0.0,1.0,1.0,1.0
689,68.8,0,89.35996459831269,249.61210943176823,116.48247142446452,0.0,5.399398825135856,1.915470353345048,0.0,1.0,1.0,1.0
690,68.9,0,88.82035109325818,249.96016460135166,116.67402975993559,0.0,5.396135050545108,1.9155833547106917,0.0,1.0,1.0,1.0
691,69.0,0,88.2810673317012,250.30787876838207,116.86559935446218,0.0,5.392837615569923,1.9156959452657931,0.0,1.0,1.0,1.0
692,69.10000000000001,0,87.74211672974802,250.65524855773353,117.05718016706389,0.0,5.3895060195317335,1.915808126017125,0.0,1.0,1.0,1.0
693,69.2,0,87.20350275453188,251.00227054315442,117.24877215685915,0.0,5.386139752161323,1.915919897952493,0.0,1.0,1.0,1.0
694,69.3,0,86.66522892519419,251.34894124628806,117.4403752830632,0.0,5.382738293376957,1.916031262040623,0.0,1.0,1.0,1.0
695,69.4,0,86.12729881388853,251.69525713567063,117.63198950498631,0.0,5.379301113056568,1.91614221923104,0.0,1.0,1.0,1.0
696,69.5,0,85.58971604680815,252.0412146257056,117.8236147820317,0.0,5.375827670803841,1.9162527704539485,0.0,1.0,1.0,1.0
697,69.60000000000001,0,85.05248430523736,252.3868100756144,118.0152510736937,0.0,5.3723174157079905,1.9163629166201013,0.0,1.0,1.0,1.0
698,69.7,0,84.51560732662765,252.73203978836204,118.20689833955578,0.0,5.368769786097069,1.9164726586206646,0.0,1.0,1.0,1.0
699,69.8,0,83.97908890569919,253.0769000095578,118.39855653928849,0.0,5.365184209284593,1.9165819973270808,0.0,1.0,1.0,1.0
700,69.9,0,83.44293289556826,253.42138692632963,118.59022563264759,0.0,5.361560101309288,1.9166909335909208,0.0,1.0,1.0,1.0
701,70.0,0,82.90714320890149,253.76549666617203,118.78190557947197,0.0,5.357896866667745,1.9167994682437337,0.0,1.0,1.0,1.0
702,70.10000000000001,0,82.37172381909751,254.10922529576632,118.97359633968166,0.0,5.354193898039786,1.9169076020968907,0.0,1.0,1.0,1.0
703,70.2,0,81.83667876149688,254.4525688197728,119.1652978732758,0.0,5.3504505760063,1.9170153359414182,0.0,1.0,1.0,1.0
704,70.3,0,81.30201213462095,254.79552317959394,119.35701014033059,0.0,5.346666268759325,1.9171226705478344,0.0,1.0,1.0,1.0
705,70.4,0,80.76772810144054,255.13808425210777,119.54873310099718,0.0,5.342840331804161,1.9172296066659673,0.0,1.0,1.0,1.0
706,70.5,0,80.23383089067522,255.48024784837062,119.74046671549966,0.0,5.3389721076532295,1.9173361450247768,0.0,1.0,1.0,1.0
707,70.60000000000001,0,79.70032479812407,255.82200971228855,119.93221094413288,0.0,5.335060925511471,1.9174422863321632,0.0,1.0,1.0,1.0
708,70.7,0,79.16721418802877,256.1633655192564,120.12396574726036,0.0,5.3311061009529945,1.9175480312747724,0.0,1.0,1.0,1.0
709,70.8,0,78.6345034944699,256.50431087476346,120.31573108531214,0.0,5.327106935588716,1.9176533805177929,0.0,1.0,1.0,1.0
710,70.9,0,78.10219722279743,256.84484131296546,120.50750691878261,0.0,5.323062716724717,1.9177583347047455,0.0,1.0,1.0,1.0
711,71.0,0,77.57029995109633,257.18495229522085,120.69929320822834,0.0,5.3189727170110315,1.9178628944572655,0.0,1.0,1.0,1.0
712,71.10000000000001,0,77.03881633168828,257.5246392085914,120.89108991426583,0.0,5.314836194080561,1.9179670603748782,0.0,1.0,1.0,1.0
713,71.2,0,76.5077510926705,257.8638973643057,121.0828969975693,0.0,5.3106523901778315,1.9180708330347656,0.0,1.0,1.0,1.0
